number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_epochs,params_lr,params_patience,params_weight_decay,state
118,0.28957368191280314,2025-11-27 18:47:39.887523,2025-11-27 18:48:29.847850,0 days 00:00:49.960327,0.45715889520433384,89,0.0001992448878830181,27,0.00011559133228103558,COMPLETE
119,0.29142993015362867,2025-11-27 18:48:29.924646,2025-11-27 18:49:22.715625,0 days 00:00:52.790979,0.4442705759731571,94,0.00022116156902848228,26,0.0002069922239598309,COMPLETE
120,0.28910070411429917,2025-11-27 18:49:22.778050,2025-11-27 18:50:19.716435,0 days 00:00:56.938385,0.48610643000218207,102,0.00013944562521699374,29,0.00017830236797135342,COMPLETE
121,0.28903440207489267,2025-11-27 18:50:19.783390,2025-11-27 18:51:16.107527,0 days 00:00:56.324137,0.42346947453695927,101,0.0001349762219581644,29,0.000184832943754506,COMPLETE
122,0.2906227420512638,2025-11-27 18:51:16.171241,2025-11-27 18:52:11.577946,0 days 00:00:55.406705,0.4872062810991192,100,0.00014060536694378192,29,0.00014493179124976728,COMPLETE
123,0.2914705841337682,2025-11-27 18:52:11.638781,2025-11-27 18:53:03.581077,0 days 00:00:51.942296,0.42184030218490415,93,0.00012118410020453657,30,0.0001763615815346271,COMPLETE
124,0.2895911199659027,2025-11-27 18:53:03.642314,2025-11-27 18:54:01.753668,0 days 00:00:58.111354,0.4115931305371595,105,0.0001311829296214545,29,0.0003039443579515365,COMPLETE
125,0.29156713183589544,2025-11-27 18:54:01.816482,2025-11-27 18:54:55.805390,0 days 00:00:53.988908,0.43212528861785704,96,0.00010610145836439342,28,0.00020562034874245825,COMPLETE
126,0.2906751383106242,2025-11-27 18:54:55.868584,2025-11-27 18:55:52.671690,0 days 00:00:56.803106,0.47326491832584455,101,0.00019881489122077015,29,0.00011139551657721887,COMPLETE
127,0.2906072172580015,2025-11-27 18:55:52.732370,2025-11-27 18:56:45.956129,0 days 00:00:53.223759,0.3969270166026977,95,0.0001468837281162318,30,0.0001651929263173577,COMPLETE
128,0.2908783254544597,2025-11-27 18:56:46.018848,2025-11-27 18:57:46.691130,0 days 00:01:00.672282,0.4596511653335672,109,0.00018138717767476678,27,0.0002876405329478646,COMPLETE
129,0.28895917871438437,2025-11-27 18:57:46.751470,2025-11-27 18:58:38.873479,0 days 00:00:52.122009,0.38609338579517766,92,0.00012209789550655172,28,0.00022770443891424042,COMPLETE
130,0.29067162574158556,2025-11-27 18:58:38.936197,2025-11-27 18:59:31.055888,0 days 00:00:52.119691,0.3851381587503713,91,0.00011741709736704537,26,0.00023339679532225827,COMPLETE
131,0.2887125337091031,2025-11-27 18:59:31.118781,2025-11-27 19:00:27.222139,0 days 00:00:56.103358,0.4253753511669565,99,0.00013962312198192883,28,0.00034009221414230313,COMPLETE
132,0.2904782065346878,2025-11-27 19:00:27.284386,2025-11-27 19:01:23.137660,0 days 00:00:55.853274,0.40506540654960405,99,0.00010366923791411011,27,0.0003514727001721811,COMPLETE
133,0.28876408203902654,2025-11-27 19:01:23.198267,2025-11-27 19:02:11.223895,0 days 00:00:48.025628,0.4225221554379836,85,0.00014557943056825505,28,0.0003215546139296875,COMPLETE
134,0.29100884025090323,2025-11-27 19:02:11.286710,2025-11-27 19:02:59.970222,0 days 00:00:48.683512,0.4246989294716224,86,0.0001332330377638011,28,0.00018698444826069802,COMPLETE
135,0.29079172696620637,2025-11-27 19:03:00.047412,2025-11-27 19:03:49.619786,0 days 00:00:49.572374,0.4151078358466554,88,0.00015730782799651773,27,0.00020992180797569572,COMPLETE
136,0.2910582513520212,2025-11-27 19:03:49.683180,2025-11-27 19:04:41.078829,0 days 00:00:51.395649,0.3973223937504293,92,0.00014180495549221363,29,0.0002725309336671178,COMPLETE
137,0.29151816473191106,2025-11-27 19:04:41.139043,2025-11-27 19:05:29.344184,0 days 00:00:48.205141,0.4317365820262208,85,0.0001285714738685808,25,0.0004215457610159039,COMPLETE
